ISSN,EISSN,中科院分区
2352-5517,,4
1474-7758,1474-7766,4
1879-8500,,3
1756-073X,1756-0748,3
1084-0680,1943-5576,4
0079-4848,1613-0804,4
1179-7266,,4
0929-0907,1569-9943,3
1878-9714,1878-9722,3
1018-2101,2406-4238,3
1210-0455,2336-730X,4
0032-678X,2195-8599,4
0304-4289,0973-7111,4
1269-1763,,4
1861-6755,1861-6763,4
0352-5317,1849-0840,4
2072-8166,,4
2542-1514,2658-4050,4
2216-0159,2462-8603,4
0032-7034,2196-8225,4
1657-4915,2389-7856,4
0301-9268,1872-7433,2
1657-6535,,4
1385-2256,1573-1618,2
2508-7940,2508-7959,4
2096-5303,2516-1571,2
0141-6359,1873-2372,2
2642-2514,,4
2398-7324,,4
2210-7789,,4
1049-023X,1945-1938,4
1090-3127,1545-0066,3
0197-3851,1097-0223,2
1082-6068,1532-2297,4
1054-7460,1531-3263,4
1843-5971,2284-7820,4
1316-1369,2343-5682,4
1090-9931,,4
0360-4918,1741-5705,4
0032-7786,2570-950X,2
0755-4982,2213-0276,3
2161-2196,2161-2188,4
1545-1151,,3
1045-988X,1940-4387,4
1389-4986,1573-6695,2
2211-3355,,3
0091-7435,1096-0260,2
2287-1098,2287-8602,4
0167-5877,1873-1716,2
2071-0410,2311-2263,4
1330-0644,1848-6371,4
1751-9918,1878-0210,4
0095-4543,1558-299X,4
1463-4236,1477-1128,4
0032-8332,1610-7365,4
1821-0147,2334-7287,4
0351-1189,,3
0265-8305,,3
1933-6896,1933-690X,4
2578-3491,2578-3505,4
1989-3469,,4
0032-8855,1552-7522,4
0266-8920,1878-4275,3
0208-4147,,4
0269-9648,1469-8951,4
1549-5787,,2
0178-8051,1432-2064,2
2095-9672,2367-0126,3
0264-5505,1741-3079,3
1867-1306,1867-1314,2
1857-0070,,4
1392-1126,2424-6158,4
1562-6016,,4
1822-7864,2538-7111,4
0032-9460,1608-3253,4
1075-8216,1557-783X,3
2306-3424,2306-3432,4
1895-6912,2080-1971,4
1026-9479,2411-4642,2
2782-358X,2782-3598,2
0921-4771,1613-4079,3
2010-1058,2059-2329,4
0097-3157,,4
2577-6193,,4
2474-9567,,3
2476-1249,,4
2475-1421,,1
0002-9939,1088-6826,3
1540-7489,1873-2704,2
0013-0915,1464-3839,3
0013-8797,,4
1736-6046,1736-7530,4
0016-7878,,4
0018-9219,1558-2256,1
0253-4142,0973-7685,4
0370-0046,2454-9983,4
2409-4986,2409-4994,4
1478-4637,1751-7664,4
0965-089X,1751-7672,4
1747-650X,1747-6518,4
1751-4223,1751-4231,4
1755-0777,1755-0785,4
1757-9430,1757-9449,4
1478-4629,1751-7680,4
2043-9903,2043-9911,4
1353-2618,1751-8563,4
1755-0750,1755-0769,4
1751-4304,1751-4312,4
1741-7597,1751-7737,4
0965-0903,1751-7699,4
0965-0911,1751-7702,4
0965-092X,1751-7710,4
1755-0793,1755-0807,4
1747-6526,1747-6534,4
1741-7589,1751-7729,4
0957-6509,2041-2967,4
0954-4054,2041-2975,4
0954-4062,2041-2983,4
0954-4070,2041-2991,4
0954-4089,2041-3009,4
0954-4097,2041-3017,4
0954-4100,2041-3025,4
0954-4119,2041-3033,4
0959-6518,2041-3041,4
1350-6501,2041-305X,4
1464-4193,2041-3068,3
1464-4207,2041-3076,4
1475-0902,2041-3084,4
2397-7914,2397-7922,4
1748-006X,1748-0078,4
1754-3371,1754-338X,4
0386-2194,,4
0386-2208,1349-2896,2
0370-047X,,4
0024-6115,1460-244X,1
0369-8203,2250-1762,4
1817-7204,1817-7239,4
0027-8424,1091-6490,1
0029-6651,1475-2719,2
1454-9069,,4
0035-8991,,3
1364-5021,1471-2946,3
0962-8452,1471-2954,2
0308-2105,1473-7124,3
0081-5438,1531-8605,4
2218-5194,,4
2150-8097,,2
0044-0604,2041-4811,4
1135-5948,1989-7553,4
1690-4818,,4
1390-0099,2588-0780,4
1359-5113,1873-3298,3
2509-4238,2509-4246,4
0957-5820,1744-3598,2
1066-8527,1547-5913,4
1726-4685,2519-2876,4
2227-9717,,4
1820-6131,2406-1034,4
2169-3277,,4
1059-1478,1937-5956,3
2353-5156,2353-7779,4
0944-6524,1863-7353,4
0953-7287,1366-5871,3
1138-414X,1989-6395,4
1932-8087,1932-8095,4
1941-5257,1941-5265,2
0033-0124,1467-9272,4
0735-7028,1939-1323,4
1657-0790,2256-5760,4
0361-7688,1608-3261,4
1166-7087,2405-5131,4
2363-9512,2363-9520,3
0376-0421,1873-1724,1
2192-6352,2192-6360,4
1000-3282,,3
2194-0509,2194-0517,4
2516-1091,,3
0079-6107,1873-1732,3
0033-0620,1873-1740,2
1005-281X,,2
1557-0541,1557-055X,4
1468-4349,1741-5233,4
0960-8974,1878-4208,2
1464-9934,1477-027X,3
2590-0617,,3
2197-4284,,3
1937-6480,,4
1937-8726,,4
1070-4698,1559-8985,2
0360-1285,1873-216X,1
2516-1083,,3
0309-1325,1477-0288,1
0163-7827,1873-2194,1
0079-6425,1873-2208,1
1002-0071,1745-5391,3
0278-5846,1878-4216,2
0301-0082,1873-5118,2
1367-7543,1931-227X,4
0149-1970,1878-4224,3
0079-6565,1873-3301,2
0079-6611,1873-4472,3
0300-9440,1873-331X,2
2196-1042,,2
0969-9260,1743-291X,4
0146-6410,1873-2224,1
1058-9813,1558-1519,4
1062-7995,1099-159X,2
0309-1333,1477-0296,3
0305-9006,1873-4510,1
0079-6700,1873-1619,1
0079-6727,1873-1627,2
1468-6783,1471-406X,4
1350-9462,1873-1635,1
1477-7606,1478-2413,4
0079-6786,1873-1643,2
1229-3008,2287-6251,4
0079-6816,1878-4240,1
1526-9248,2164-6708,4
2050-3911,,4
1896-5644,,4
8756-9728,1938-9507,2
1934-9688,1934-9696,1
1333-4395,,4
0121-182X,1909-7727,4
0353-5320,1848-4069,4
1852-9488,,4
0272-9601,1086-3311,3
1311-9109,,4
0721-3115,1521-4087,4
0263-7472,1758-731X,4
2212-540X,,2
0122-1213,2389-993X,4
0394-0802,2239-7205,3
1098-8823,2212-196X,3
0952-3278,1532-2823,4
1365-7852,1476-5608,2
2090-3111,2090-312X,4
2287-8882,2287-903X,3
0270-4137,1097-0045,3
2673-1592,,3
0309-3646,1746-1553,4
1330-0652,1333-9117,4
2367-2617,2367-0983,1
2070-2051,2070-206X,4
1674-800X,1674-8018,1
0929-8665,1875-5305,4
1741-0126,1741-0134,4
1046-5928,1096-0279,4
1572-3887,1875-8355,4
0961-8368,1469-896X,3
0887-3585,1097-0134,4
1477-5956,,3
2227-7382,,3
1862-8346,1862-8354,3
1615-9853,1615-9861,3
1434-4610,1618-0941,4
0033-183X,1615-6102,3
2171-6897,2173-1616,4
2691-3399,,1
0033-2526,2084-9893,4
0033-2097,2449-9544,4
1230-5502,,4
0033-2496,,4
1049-0965,1537-5935,4
1515-2251,2451-6600,4
1824-078X,,4
1688-7026,,4
1135-755X,2174-0526,4
1827-2517,2612-2006,4
0102-7972,1678-7153,4
0211-2159,1576-8597,4
0394-2864,1972-5043,4
0214-9915,1886-144X,2
0048-5705,,4
1332-0742,1849-0395,4
1814-2052,2311-7273,4
0205-9592,,4
2037-3635,2037-3643,4
2230-326X,,3
1088-5870,,4
2046-0252,2046-0260,4
0033-2615,1687-7438,3
0033-2623,,4
1644-6313,,4
0033-2674,,4
0048-5713,1938-2456,4
0193-953X,1558-3147,4
0955-8829,1473-5873,4
0033-2720,1573-6709,4
1095-158X,1559-3126,4
1075-2730,1557-9700,2
0079-726X,2102-5320,4
0303-4259,1439-0876,4
2636-834X,,4
1323-1316,1440-1819,2
2475-0573,2475-0581,4
2673-5318,,4
1738-3684,1976-3026,4
1321-8719,1934-1687,4
0925-4927,1872-7506,4
0165-1781,1872-7123,3
0033-2747,1943-281X,4
1778-3798,1778-381X,4
1057-9249,1099-1611,2
1460-8235,1755-201X,4
1088-0763,1543-3390,4
2472-0038,2472-0046,4
1048-1885,1940-9222,3
0735-1690,1940-9133,4
0736-9735,1939-1331,4
0266-8734,1474-9734,4
0033-2828,2167-4086,2
1522-8878,1522-9033,4
0079-7308,2474-3356,4
1475-3634,1475-3626,4
1346-3500,1479-8301,4
2309-1797,2415-3397,4
0033-2852,1347-5916,4
0033-2879,,3
0871-4657,1647-8606,4
1040-3590,1939-134X,2
0033-2909,1939-1455,1
1938-971X,1938-9728,3
1047-840X,1532-7965,4
0033-2917,1469-8978,2
1082-989X,1939-1463,1
0033-2925,1556-3030,4
0033-2933,2163-3452,4
0033-2941,1558-691X,4
0340-0727,1430-2772,3
0033-295X,1939-1471,1
1529-1006,1539-6053,1
0956-7976,1467-9280,1
1541-1559,1939-148X,4
0033-2968,0974-9861,4
1942-9681,1942-969X,3
1420-2530,,4
0033-2984,,4
0342-183X,,4
0033-3042,2190-6238,4
0952-8229,,4
0887-0446,1476-8321,3
0742-6046,1520-6793,2
1941-9899,1941-9902,3
0882-7974,1939-1498,2
0971-3336,0973-0761,4
2222-5196,,4
1476-0835,2044-8341,2
1068-316X,1477-2744,4
1354-8506,1465-3966,4
2074-6857,2307-2202,4
0033-3085,1520-6807,3
1475-7257,2057-3022,3
0893-164X,1939-1501,2
1931-3896,1931-390X,2
2326-5523,2326-5531,4
2769-6863,2769-6898,4
1524-9220,1939-151X,2
0305-7356,1741-3087,3
2689-6567,2689-6575,3
1941-1022,1943-1562,2
2329-0382,2329-0390,2
1469-0292,1878-5476,2
2152-0828,2152-081X,3
0361-6843,1471-6402,2
1076-8971,1939-1528,2
1179-1578,,3
2171-2085,1989-709X,4
1813-8918,,4
0033-3123,1860-0980,2
0275-3987,2162-1535,4
0306-4530,1873-3360,2
1069-9384,1531-5320,2
0254-4962,1423-033X,4
0033-3158,1432-2072,3
0048-5772,1469-8986,2
2634-4416,,4
1752-2439,1752-2447,4
1132-0559,2173-4712,2
0033-3174,1534-7796,3
0239-4170,2391-5862,4
0937-2032,1439-1058,4
2731-7161,2731-717X,4
1476-9263,1556-9195,4
0033-3190,1423-0348,1
1050-3307,1468-4381,2
0033-3204,1939-1536,3
2171-1976,1989-9386,4
0933-4807,2195-4720,4
0271-2075,1099-162X,3
1727-2645,2517-679X,4
0033-3352,1540-6210,1
0033-3298,1467-9299,2
2651-5377,2667-4114,4
1465-5187,1753-5530,3
0275-1100,1540-5850,4
0048-5829,1573-7101,3
0899-2363,1527-8018,3
0031-496X,2064-8278,4
1091-1421,1552-7530,4
2220-8372,,4
1754-9973,1754-9981,4
1662-4246,1662-8063,4
2666-5352,,4
0737-1209,1525-1446,4
1368-9800,1475-2727,3
0033-3549,1468-2877,3
2204-2091,,4
2107-6952,,3
0033-3506,1476-5616,3
0272-3433,,4
1037-9851,1833-4989,3
1099-9922,1558-0989,4
1034-3024,,4
0161-6846,1541-1540,4
1471-9037,1471-9045,2
0954-0962,1467-9302,4
0033-362X,1537-5331,2
1566-7170,1573-7098,4
1530-9576,1557-9271,4
0091-0260,1945-7421,3
0952-0767,1749-4192,3
2046-147X,2046-1488,2
0363-8111,1873-4537,3
1866-749X,1613-7159,4
0963-6625,1361-6609,2
1087-724X,1552-7549,4
0845-4450,2048-6928,4
0214-1493,,3
0033-3883,2064-2849,4
0350-1302,,4
0073-8301,1618-1913,1
1323-3580,1448-6083,4
0004-6264,2053-051X,4
0004-6280,1538-3873,4
0959-3683,1749-6284,3
0034-5318,1663-4926,2
2304-6775,,4
1053-8801,1936-4792,4
0048-5950,1747-7107,2
0738-0658,2373-6011,4
2045-8932,2045-8940,4
2090-1836,2090-1844,4
1094-5539,,3
2364-1754,2364-1746,4
2531-0437,,2
0316-4004,1923-3515,4
2235-8676,2235-8668,4
1462-4745,1741-3095,2
1016-2526,,4
0719-0417,,4
0033-4545,1365-3075,4
0033-4553,1420-9136,4
1558-8599,1558-8602,4
1573-9538,1573-9546,4
1012-2346,2223-7895,4
2327-1574,2327-1590,4
1460-2725,1460-2393,3
1570-7156,1573-711X,4
0226-8043,,4
1590-2595,,4
0301-6307,2612-1972,4
0033-4987,1724-1901,3
1135-416X,2444-1449,4
1135-4178,2444-1457,4
0211-3481,2014-4520,4
1138-5790,2014-9735,3
0014-9527,1570-0690,2
1807-8389,1516-0351,4
2311-911X,2313-6871,4
2011-0472,2422-2186,4
0137-477X,2081-6383,4
1607-3606,1727-933X,4
2241-1925,,4
1049-7323,1552-7557,2
1077-8004,1552-7565,3
1352-2752,1758-7646,4
2326-3601,2326-3598,1
1052-0147,2160-3715,4
1176-6093,1758-7654,4
2014-6418,,4
1755-4179,,4
1746-5648,1746-5656,4
1478-0887,1478-0895,2
2159-676X,2159-6778,2
1443-9883,1448-0980,4
1468-7941,1741-3109,1
1473-3250,1741-3117,3
0162-0436,1573-7837,2
1575-5460,1662-3592,2
0748-8017,1099-1638,3
1757-8361,1757-837X,3
0968-4883,1758-7662,4
0898-2112,1532-4222,3
1471-7794,2044-1835,4
1353-8322,1470-1081,4
1335-1745,,4
1063-8628,1550-5154,4
0962-9343,1573-2649,3
1684-3703,1811-4857,2
2095-4689,2095-4697,4
1759-7323,1759-7331,2
2573-0134,,2
1469-7688,1469-7696,4
2223-4292,2223-4306,3
1768-6733,2116-7176,2
1913-4126,2292-1354,4
2641-3337,,3
2412-382X,,4
1533-7146,,4
1570-0755,1573-1332,3
2524-4906,2524-4914,3
2058-9565,,2
2196-5609,2196-5617,4
1663-487X,1664-073X,3
2521-327X,,3
0033-5533,1531-4650,1
1470-9236,2041-4803,4
1747-0218,1747-0226,4
2010-1392,2010-1406,4
0033-5606,1464-3847,4
0033-5614,1464-3855,4
1824-4785,1827-1936,4
1554-0626,1554-0634,3
0033-5630,1479-5779,1
0035-9009,1477-870X,3
0033-569X,1552-4485,4
0033-5770,1539-7718,2
1062-9769,1878-4259,3
0033-5835,1469-8994,2
1142-2904,,4
1871-1014,1878-0350,3
1040-6182,1873-4553,3
0033-5894,1096-0287,3
2666-0334,,3
0277-3791,1873-457X,2
2571-550X,,3
2045-9807,2045-9815,4
0316-778X,,4
0033-6041,,4
1321-8166,2049-7792,4
2037-741X,,4
0033-6297,1543-2750,4
1669-6581,,4
2084-8099,2657-487X,4
0257-0130,1572-9443,3
0100-4042,1678-7064,4
1579-7414,2340-0005,4
0033-6572,1936-7163,4
2254-7037,,4
1828-7344,2240-2950,4
0033-6807,1467-9310,2
2073-4859,,4
1138-5596,2254-6332,4
0033-7250,1868-7059,4
0315-9906,1918-4778,3
0306-3968,1741-3125,3
2153-3687,,2
1867-1748,1867-1756,2
1361-3324,1470-109X,3
1849-2215,,4
0301-634X,1432-2099,4
2509-9930,2509-9949,3
1042-0150,1029-4953,4
1350-4487,1879-0925,3
2234-3156,,4
1748-717X,,2
0969-806X,1879-0895,3
0144-8420,1742-3406,4
0033-7587,1938-5404,3
0163-6545,,3
0300-211X,0030-211X,2
1941-0832,,4
1607-3274,2313-688X,4
0048-6604,1944-799X,4
0033-8222,1945-5755,3
1066-3622,1608-3288,4
0033-8230,2193-3405,4
1210-2512,,4
0271-5333,,1
1078-8174,1532-2831,3
0033-8362,1826-6983,2
0033-8338,1578-178X,4
0033-8389,1557-8275,4
0033-8397,1943-5657,4
1865-0333,1865-0341,4
2731-7048,2731-7056,4
1318-2099,1581-3207,4
2090-1941,2090-195X,4
2638-6100,,1
2638-6135,,3
2638-616X,,2
0033-8419,,1
0033-8443,1573-9120,4
0033-8451,1769-700X,4
0167-8140,1879-0887,2
0350-3437,1845-4534,4
1330-0474,,4
0353-295X,,4
0034-7590,2178-938X,4
1885-9089,,4
0217-2445,2345-7600,4
1720-2396,,4
2662-4745,2662-4753,2
0399-0559,2804-7303,4
0988-3754,2804-7346,4
1382-4090,1572-9303,3
2076-9172,,4
0741-6261,1756-2171,2
2010-3263,2010-3271,4
0926-6364,1569-397X,4
1042-9832,1098-2418,3
0971-2070,,4
1550-7424,1551-5028,3
1036-9872,1834-7541,4
0951-4198,1097-0231,4
1355-2546,1758-7670,4
1002-185X,1875-5372,4
1001-0521,1867-7185,1
2036-3605,2036-3613,4
0275-1607,,4
2014-671X,,4
1331-6745,1849-0379,4
0033-9423,,4
1794-6638,2619-4066,4
0034-0006,1467-9329,3
1819-6446,2225-3653,4
1043-4631,1461-7358,3
0034-0111,1869-4179,4
2531-0488,,4
0303-5212,,4
1989-2659,,4
1806-4892,1983-0807,4
1981-9927,,4
1981-9919,,4
1414-381X,2318-0331,4
1678-765X,,4
2058-9883,,3
1878-5190,1878-5204,4
2624-781X,,4
1381-5148,1873-166X,3
1057-3569,1521-0693,4
2079-8245,2308-1422,4
0922-4777,1573-0905,3
1539-0578,,3
0270-2711,1521-0685,4
0034-0553,1936-2722,1
0034-0561,1936-2714,4
0147-1937,1930-1219,4
1080-8620,1540-6229,3
1733-2478,2300-5289,4
0922-6443,1573-1383,4
2604-7306,2604-7276,4
0958-3440,1474-0109,1
2352-0965,2352-0973,4
2772-2708,2772-2716,4
1563-0315,2663-2276,4
1574-8928,2212-3970,4
1872-2105,2212-4020,4
1304-9720,2547-9679,4
2168-0604,2155-7888,4
1130-6149,2254-4135,4
0297-2964,2271-8362,4
2051-5707,,4
2257-5405,2119-5242,4
1370-7493,1783-1717,3
0034-1282,,4
0724-2247,,4
0937-9819,1434-5196,4
0956-5698,1758-7689,4
1307-6167,,4
0067-1975,,4
1558-8661,1558-867X,4
2313-4321,,4
1578-7680,,4
2182-9845,,4
1856-9331,,4
0370-4327,,4
2014-3621,,4
2213-2317,,1
1351-0002,1743-2928,2
1696-1412,1887-4592,4
0090-7324,2054-1716,4
1462-3943,1470-1103,3
0124-0781,,4
1462-2459,1743-1727,3
1357-4175,1752-0738,3
1083-4877,1573-9139,4
0229-5113,1920-7336,4
1020-4067,1471-695X,3
1809-2276,2177-8736,4
2056-3418,2056-3426,2
2364-4133,2364-4141,4
1746-0751,1746-076X,4
2352-3204,,3
1267-5059,2117-0843,4
2166-4307,2165-0659,4
1359-7566,1743-9434,2
1098-7339,1532-8651,2
1436-3798,1436-378X,2
0166-0462,1879-2308,2
1757-7802,,3
2352-4855,,4
2168-1376,,4
0034-3404,1360-0591,2
2097-0129,2666-660X,2
2413-1407,2587-8549,4
1979-8903,2503-040X,4
0023-0243,2161-0355,4
2542-9477,2542-9485,3
1560-3547,1468-4845,4
1748-5983,1748-5991,1
2519-8521,2520-2588,4
0273-2300,1096-0295,3
0034-3552,1538-4853,4
0278-4807,2048-7940,4
2168-3808,2381-2427,4
0090-5550,1939-1544,4
2168-6653,2168-6661,4
0034-3536,1439-1309,4
2308-782X,,4
1696-4713,,3
2254-5883,,4
1549-1684,1557-8577,4
1699-3950,,4
1515-3371,2314-2766,4
0325-2221,1852-1479,4
0034-379X,,4
0033-6882,1745-526X,1
0951-8320,1879-0836,1
1134-4032,,4
1550-7394,1949-8381,3
1871-031X,1871-0328,4
0888-3769,2328-6911,4
1052-1151,1533-8568,3
2150-9298,2150-9301,3
1079-9265,1568-5292,4
1023-0807,1574-3012,2
2153-599X,2153-5981,2
1749-8171,,2
0963-7494,1465-3974,1
0048-721X,1096-1151,2
0394-9397,1722-4705,4
1751-2689,1751-2697,4
2077-1444,,2
0034-4087,1547-3201,4
2322-4894,2538-6271,4
0829-2922,1747-5414,4
0319-485X,1748-0922,4
0034-4125,1469-901X,2
0103-183X,2316-5758,4
2318-4884,1517-1256,4
0741-9325,1538-4756,3
1051-5658,1520-6831,4
2014-2862,,4
2352-9385,,3
2056-3485,,2
2150-704X,2150-7058,4
0034-4257,1879-0704,1
2072-4292,,2
0034-429X,,3
0034-4338,1935-0236,1
0269-1213,1477-4658,2
0886-022X,1525-6049,3
2059-1381,,4
1832-3804,,4
0034-4346,2329-8626,4
0009-725X,1973-4409,4
0041-8994,2240-2926,4
1120-6330,1720-0768,4
2037-4631,1720-0776,4
2035-8008,,4
1364-0321,1879-0690,1
1742-1705,1742-1713,3
1755-0084,1878-0229,3
2717-252X,2676-7430,4
0960-1481,1879-0682,1
2322-3480,,4
0322-9688,1805-9872,4
1507-1367,2083-4640,4
2391-8365,2391-8152,4
0137-2904,,4
0034-4877,1879-0674,4
0034-4885,1361-6633,2
2571-841X,,4
1088-4165,,3
0734-6018,1533-855X,3
2633-8386,,4
1031-3613,1448-5990,4
0936-6768,1439-0531,3
1470-1626,1741-7899,2
2096-2924,2589-8728,4
1477-7827,,2
1642-431X,2300-732X,3
1472-6483,1472-6491,2
1742-4755,,2
1445-5781,1447-0578,3
2673-3897,,4
1933-7191,1933-7205,4
0890-6238,1873-1708,3
0947-3602,1432-010X,3
2264-6949,,4
2255-2057,,4
2168-9105,2168-9113,3
1356-4765,1572-8692,3
1576-4184,1989-6115,4
2392-3113,,4
2053-1680,,3
1540-7969,2169-2408,2
2329-7018,2329-7026,4
1793-7078,,3
2475-0379,,3
1179-9935,,4
1179-7282,,4
2253-2447,,4
2624-3733,,4
1541-6577,1945-7286,4
1747-0161,2047-6094,2
0958-2029,1471-5449,3
0034-5210,1527-2044,2
1674-4527,2397-6209,3
1750-9467,1878-0237,4
2251-9572,2251-9580,4
2097-1583,2949-7302,4
1745-4999,,3
1464-7893,1470-1111,2
0891-4222,1873-3379,2
1090-9443,1090-9451,4
2659-9031,,4
0034-5237,2050-4608,4
2564-7261,,4
0934-9839,1435-6066,3
1940-4921,1938-2464,4
0361-0365,1573-188X,3
1542-7609,1542-7617,4
0275-5319,1878-3384,2
2156-7069,2156-7077,4
2538-5542,2538-2705,4
1479-4802,1754-0178,4
2768-4830,,4
0923-2508,1769-7123,3
0934-9847,1432-2110,4
2522-0160,2363-9555,3
0160-6891,1098-240X,3
0191-3085,,3
1735-5362,1735-9414,4
0085-5553,1569-1640,4
1359-6748,1747-5112,4
2239-8031,,3
0263-5143,1470-1138,4
0157-244X,1573-1898,3
1551-7411,1934-8150,2
0276-5624,1878-5654,1
1543-8627,1543-8635,4
2522-0144,2197-9847,3
0034-527X,1943-2348,2
2210-5395,2210-5409,2
0739-8859,1875-7979,2
0034-5288,1532-2661,3
2058-8615,,2
2278-4535,,4
2345-4458,2345-5977,4
1560-6074,,4
0164-0275,1552-7573,4
0922-6168,1568-5675,3
2730-7166,2730-7174,2
0835-1813,1532-7973,1
1049-7315,1552-7581,3
0267-1522,1470-1146,3
0048-7333,1873-7625,1
0270-1367,2168-3824,4
1179-8475,,4
1321-103X,1834-5530,1
1759-2879,1759-2887,2
0895-6308,1930-0166,4
2096-5168,2639-5274,1
0886-571X,1541-0358,4
0971-8044,0973-712X,4
0717-3474,0719-5702,3
0928-7655,1873-0221,3
1344-1698,1751-3928,4
2667-3789,,3
0921-3449,1879-0658,1
2666-9161,,1
0048-7384,,4
2079-9276,,3
0025-7931,1423-0356,3
0020-1324,1943-3654,4
2212-5345,2212-5353,4
2590-0412,,4
2213-0071,,4
0954-6111,1532-3064,3
1569-9048,1878-1519,4
1465-993X,,2
2051-3380,,4
1323-7799,1440-1843,2
0034-5806,1865-8431,4
1061-2971,1526-100X,3
0922-6028,1878-3627,4
2590-0374,,4
2211-7156,,3
2590-1230,,2
1422-6383,1420-9012,3
2211-3797,,2
2666-5204,,3
0300-9572,1873-1570,1
2708-3209,,4
1364-2529,1470-1154,2
0893-5696,1475-8059,4
1593-2214,,3
1826-8889,2279-7777,4
0275-004X,1539-2864,3
1390-6291,1390-8618,4
1742-4690,,4
0048-7449,2240-2683,4
1699-258X,1885-1398,4
0034-6233,2084-9834,4
2237-3667,,4
1517-3852,2175-6783,4
2177-952X,,4
2179-4456,,4
1677-1222,,4
1885-8031,1135-6618,4
0034-6373,2052-9449,4
2195-7177,2195-7185,3
1475-7702,1758-7700,4
1380-6653,1573-7136,3
0305-6244,1740-1720,4
2249-4405,2248-9002,4
2045-9920,2045-9939,3
0889-3047,1573-7128,4
2326-6198,2326-6201,4
1940-5979,1940-5987,4
0034-6454,,4
0925-9880,,4
1877-9751,1877-976X,3
2255-4165,,1
2046-9128,2046-9136,4
1380-6645,1573-7144,4
1363-6669,1467-9361,3
1879-9337,,4
1973-3909,,4
1434-4742,1434-4750,4
1094-2025,1096-6099,3
1213-2446,1804-1663,4
0034-6527,1467-937X,1
2356-9980,2631-3561,4
0034-6535,1530-9142,1
1569-5239,1573-7152,3
1071-4413,1556-3022,4
2049-6613,,3
0034-6543,1935-1046,1
0034-6551,1471-6968,3
1750-6816,1750-6824,2
2545-384X,,4
2050-0386,2050-0394,3
1557-0274,1931-7743,3
1572-3097,1573-692X,2
1058-3300,1873-5924,4
0893-9454,1465-7368,1
1089-2680,1939-1552,2
0162-5748,1090-7009,2
0034-6586,1475-4991,3
0889-938X,1573-7160,4
2059-6014,1758-8529,4
0965-7576,1467-9396,4
1559-7431,1559-744X,1
0969-2290,1466-4526,2
0260-2105,1469-9044,1
2049-5323,2049-5331,3
1229-0076,,4
2194-6000,1555-5879,4
1863-6683,1863-6691,2
0034-6632,2154-1302,4
2151-3481,2329-3225,4
2194-5993,1446-9022,4
0219-0915,1793-6705,4
0034-6667,1879-0615,3
1878-5158,1878-5166,3
1541-132X,1541-1338,4
0953-8259,1465-3982,3
0734-371X,1552-759X,2
0924-865X,1573-7179,4
1568-4857,1570-0704,4
0486-6134,1552-8502,3
0173-7600,1613-9836,3
0048-749X,1553-0892,4
2214-3947,2214-3955,2
0034-673X,2211-4866,2
0091-732X,1935-1038,2
0034-6748,1089-7623,4
0034-6764,1470-1162,3
2523-3173,1867-3236,4
1755-0203,1755-0211,2
1610-2878,1610-2886,3
0890-5762,1743-0666,4
2770-3150,2770-3169,4
0048-7511,1080-6628,4
0793-0135,2191-0189,3
1753-5123,1753-5131,1
1530-6550,2153-8174,3
0167-8299,2191-0235,3
1389-9155,1573-2606,2
1569-1705,1572-9826,2
0960-3166,1573-5184,1
2330-8249,2330-8257,1
0193-4929,2191-0227,3
0129-055X,1793-6659,3
1052-9276,1099-1654,2
0334-1763,2191-0200,3
0179-5953,2197-6554,3
8755-1209,1944-9208,1
0034-6861,1539-0756,1
1606-5131,1605-8127,3
0048-7554,2191-0308,4
1574-8871,1876-1038,4
0034-690X,,4
1330-2965,1845-6014,4
0718-2309,,4
1980-3087,2448-2307,4
1980-5772,2177-4307,4
2178-0080,,4
1984-428X,2316-1817,4
2176-9036,,4
2221-4135,,4
1852-4206,,4
1852-1495,,4
0325-7541,1851-7617,4
2316-5251,1807-8214,4
0100-6762,1806-9088,4
0034-7078,2683-7153,4
2007-3380,,4
2070-8157,2706-8080,4
0100-0683,1806-9657,4
1981-1160,1981-0997,4
1808-4524,2176-9478,4
2176-6649,,4
2359-3881,2525-510X,4
1807-1228,2238-0604,4
2525-4863,,4
0034-7167,1984-0446,4
1415-4366,1807-1929,4
0085-5626,1806-9665,4
0034-7191,2359-5736,4
0102-695X,1981-528X,4
0100-2945,1806-9967,4
1984-4956,,4
1519-1540,2236-5664,4
0100-7203,1806-9339,4
2175-3423,,4
0102-0188,,4
1677-2504,2178-2822,4
2177-5184,,4
1519-7530,2236-1715,4
0103-846X,1984-2961,3
1982-6125,,4
0034-7329,1983-3121,4
1516-3598,1806-9290,4
0100-316X,1983-2125,4
1885-5709,1885-8252,4
2145-7719,,4
2011-3080,,4
2007-3828,2007-4018,4
0719-2576,0719-2584,4
0718-3437,,4
0719-2215,0719-689X,4
0716-078X,0717-6317,4
0716-1018,0717-6341,4
0718-2295,,4
0717-7518,,4
1856-6189,,4
1133-6595,2013-035X,4
0045-6888,1806-6690,4
1414-0896,2318-0722,4
1390-7603,,4
2256-5000,2590-7344,4
2179-4200,,4
2175-0556,,4
0798-2259,,4
0124-2253,2344-8350,4
1989-9912,,4
0014-2565,1578-1860,4
1900-6896,2590-9452,4
0123-9015,2346-0199,4
0120-0690,2256-2958,4
2216-1201,,4
0120-0488,,4
0124-4620,2463-1159,4
2422-0582,2422-4456,4
0120-2804,2357-3791,4
