ISSN,EISSN,影响因子,JCR分区
0898-4921,1537-1921,2.4,Q1
0145-305X,1879-0089,2.4,Q1
1265-4906,1248-9204,2.4,Q1
0022-0493,1938-291X,2.4,Q1
0160-6891,1098-240X,2.4,Q1
0003-9527,1432-0673,2.4,Q1
0020-7292,1879-3479,2.4,Q2
0080-6757,1467-9477,2.4,Q1
0196-6553,1527-3296,2.4,Q2
0743-8346,1476-5543,2.4,Q1
0894-9115,1537-7385,2.4,Q1
,1469-3569,2.4,Q1
1523-0406,1545-0465,2.4,Q1
1802-7962,1802-7962,2.4,Q1
2730-7166,2730-7174,2.4,Q2
1879-7296,1879-730X,2.4,Q1
1466-853X,,2.4,Q1
0176-2680,1873-5703,2.4,Q1
1303-2968,1303-2968,2.4,Q2
0091-732X,1935-1038,2.4,Q1
1946-0171,1946-018X,2.4,Q1
0952-8733,1740-3863,2.4,Q1
1049-7323,1552-7557,2.4,Q1
0078-3234,2300-7370,2.4,Q2
,2673-5059,2.4,Q1
,2056-9920,2.4,Q2
0931-2439,1439-0396,2.4,Q1
,1520-6688,2.4,Q2
1618-1247,1618-1255,2.4,Q2
0363-0129,1095-7138,2.4,Q1
,2673-6225,2.4,Q1
1569-1721,1573-8701,2.4,Q2
0033-3174,1534-7796,2.4,Q2
,1471-2369,2.4,Q2
1179-2744,1179-2744,2.4,Q2
1365-182X,1477-2574,2.4,Q1
1864-1105,2151-2388,2.4,Q1
1748-6815,1878-0539,2.4,Q1
2010-0078,2010-0086,2.4,Q2
1435-0211,1611-4663,2.4,Q1
,1471-2474,2.4,Q2
,2410-3888,2.4,Q1
1834-4909,1834-4909,2.4,Q2
0045-0421,1834-7819,2.4,Q2
0197-4572,1528-3984,2.4,Q1
2333-0384,2333-0376,2.4,Q2
0362-9805,1939-9162,2.4,Q1
1329-878X,2200-467X,2.4,Q1
2168-0450,2168-0450,2.4,Q2
0364-0213,1551-6709,2.4,Q2
0095-8964,1940-1892,2.4,Q1
2168-1376,2168-1376,2.4,Q1
0895-7967,1558-4518,2.4,Q1
0966-6362,1879-2219,2.4,Q2
2197-3792,2196-8837,2.4,Q2
1090-7165,1573-3254,2.4,Q2
1178-2390,1178-2390,2.4,Q2
2666-5204,2666-5204,2.4,Q1
0967-6120,1573-143X,2.4,Q2
0145-4455,1552-4167,2.4,Q2
0894-8453,1556-0856,2.4,Q2
1461-3484,2048-4046,2.4,Q2
0893-3189,1552-6798,2.4,Q1
2470-0045,2470-0053,2.4,Q1
0018-506X,1095-6867,2.4,Q2
0020-7144,1744-5183,2.4,Q2
0743-5584,1552-6895,2.4,Q2
0748-4658,1533-3876,2.4,Q2
0957-4824,1460-2245,2.4,Q2
1553-7250,1938-131X,2.4,Q2
1755-5345,1755-5345,2.4,Q2
0340-6253,,2.4,Q2
0378-5920,1467-9701,2.4,Q1
1724-4935,2385-0787,2.4,Q2
0014-2921,1873-572X,2.4,Q2
1661-8556,1661-8564,2.4,Q2
0955-3002,1362-3095,2.4,Q1
0987-7053,1769-7131,2.4,Q2
0889-7077,1547-0164,2.4,Q2
1755-4365,1878-0067,2.4,Q3
1057-9230,1099-1050,2.4,Q2
2211-3452,2211-3460,2.4,Q2
0340-0131,1432-1246,2.4,Q2
1726-4901,1728-7731,2.4,Q1
1090-0586,1573-3270,2.4,Q2
,2632-6140,2.4,Q3
1055-3207,1558-5042,2.4,Q1
0927-5398,1879-1727,2.4,Q2
1091-255X,1873-4626,2.4,Q1
1529-9732,1529-9740,2.4,Q2
,2211-3355,2.4,Q2
1326-0200,1753-6405,2.4,Q2
2055-0464,2055-0464,2.4,Q2
0953-1513,1741-4857,2.4,Q2
1044-7431,1095-9327,2.4,Q3
2352-4855,2352-4855,2.4,Q1
1226-2617,2093-0860,2.4,Q1
0731-7115,1545-2301,2.4,Q2
2514-9342,2514-9350,2.4,Q2
,2517-5025,2.4,Q2
,2473-4039,2.4,Q3
1010-660X,1648-9144,2.4,Q1
2352-7110,2352-7110,2.4,Q2
0163-4356,1536-3694,2.4,Q2
1360-7863,1364-6915,2.4,Q2
2214-3882,2214-3890,2.4,Q2
,2073-4352,2.4,Q2
0175-7571,1432-1017,2.4,Q3
0378-1119,1879-0038,2.4,Q3
0960-1627,1467-9965,2.4,Q2
1252-607X,1776-1042,2.4,Q2
2194-7953,2194-7961,2.4,Q2
0960-7404,1879-3320,2.4,Q1
2041-2851,2041-2851,2.4,Q2
2368-738X,2368-738X,2.4,Q2
0965-075X,1468-2389,2.4,Q2
0021-8499,1740-1909,2.4,Q1
0021-8863,1552-6879,2.4,Q2
0195-9298,1573-4862,2.4,Q2
2405-6731,2405-6731,2.4,Q2
0042-6822,1089-862X,2.4,Q3
0008-350X,1715-5258,2.4,Q1
2625-3410,2625-3410,2.4,Q2
0749-0704,1557-8232,2.4,Q2
0268-8921,1435-604X,2.4,Q1
0033-2747,1943-281X,2.4,Q2
,1804-9796,2.4,Q2
1051-1377,1096-0791,2.4,Q2
2212-6570,2212-6570,2.4,Q2
,2957-0468,2.4,Q3
0041-0101,1879-3150,2.4,Q3
,2084-879X,2.4,Q2
2167-8359,2167-8359,2.4,Q2
1178-2218,1178-2218,2.4,Q2
,2036-7449,2.4,Q3
1367-9120,1878-5786,2.4,Q2
0031-1820,1469-8161,2.4,Q2
2213-4344,2213-4344,2.4,Q3
1011-6125,1423-0372,2.4,Q1
1559-3258,1559-3258,2.4,Q2
0195-6574,1944-9089,2.4,Q2
1472-4049,1747-7638,2.4,Q2
0261-4367,1466-4496,2.4,Q2
1556-9543,1556-9551,2.4,Q3
0739-1102,1538-0254,2.4,Q3
1557-9883,1557-9891,2.4,Q2
1931-7557,1931-7565,2.4,Q3
0014-0139,1366-5847,2.4,Q2
2329-9185,2329-9185,2.4,Q1
0890-1171,2168-6602,2.4,Q2
2214-4366,1389-0417,2.4,Q2
1753-8157,1753-8165,2.4,Q2
0306-686X,1468-5957,2.4,Q2
1086-9379,1945-5100,2.4,Q2
1590-1874,1590-3478,2.4,Q3
1751-0759,1751-0759,2.4,Q2
2005-307X,2092-6219,2.4,Q2
1998-9563,2224-7955,2.4,Q2
0022-328X,1872-8561,2.4,Q2
2364-7671,2364-768X,2.4,Q1
1083-8155,1573-1642,2.4,Q2
2212-4926,2212-4934,2.4,Q3
1046-7408,1600-0897,2.4,Q3
1177-9322,1177-9322,2.4,Q3
1744-117X,1878-0407,2.4,Q3
0953-816X,1460-9568,2.4,Q3
1867-2477,1867-2485,2.4,Q2
2049-6060,2049-6060,2.4,Q2
2040-7939,2040-7947,2.4,Q2
1045-4446,1540-4102,2.4,Q3
1053-8569,1099-1557,2.4,Q2
1550-7424,1551-5028,2.4,Q2
0300-0664,1365-2265,2.4,Q3
,2673-4117,2.4,Q2
1368-5031,1742-1241,2.4,Q1
1741-3591,1746-6539,2.4,Q3
0167-6857,1573-5044,2.4,Q2
0378-7966,2107-0180,2.4,Q3
1098-092X,1936-4717,2.4,Q2
0021-9290,1873-2380,2.4,Q3
2096-5044,2523-3254,2.4,Q2
0278-4297,1550-9613,2.4,Q2
0032-0862,1365-3059,2.4,Q2
1651-436X,1654-1642,2.4,Q3
1473-4222,1473-4230,2.4,Q3
0098-2202,1528-901X,2.4,Q2
1062-936X,1029-046X,2.4,Q2
2193-3081,1399-1183,2.4,Q2
0939-5555,1432-0584,2.4,Q2
0956-2478,1746-0301,2.4,Q2
2040-8005,2040-8013,2.4,Q3
2397-3757,2397-3765,2.4,Q3
,2673-4001,2.4,Q3
0351-0026,1854-2476,2.4,Q2
1470-5958,1741-2838,2.4,Q3
0144-3585,,2.4,Q2
0042-790X,1338-4333,2.4,Q2
1077-5463,1741-2986,2.4,Q2
1477-8920,1996-7829,2.4,Q3
1226-3303,2005-6648,2.4,Q1
1384-5640,1573-272X,2.4,Q2
0939-4451,1438-2199,2.4,Q3
1807-5932,1980-5322,2.4,Q1
2210-7401,2210-741X,2.4,Q3
1875-9521,1875-953X,2.4,Q2
0951-354X,1758-6518,2.4,Q3
0022-152X,1943-5193,2.4,Q2
0361-5995,1435-0661,2.4,Q3
0043-1737,1365-3180,2.4,Q2
0015-2684,1572-8099,2.4,Q2
1989-1660,1989-1660,2.4,Q3
,1536-0121,2.4,Q2
0038-0938,1573-093X,2.4,Q2
,1932-1058,2.4,Q2
0014-3022,1421-9913,2.4,Q3
1943-0655,1943-0647,2.4,Q3
2168-6734,2168-6734,2.4,Q3
1946-3138,1946-3146,2.4,Q3
2523-3920,2523-3939,2.4,Q2
2051-672X,2051-672X,2.4,Q2
2468-2942,2468-2942,2.4,Q3
1062-4821,1473-6543,2.4,Q2
2010-135X,2010-1368,2.4,Q2
1060-1325,1520-5738,2.4,Q3
1021-7401,1423-0216,2.4,Q3
1023-5809,1607-7946,2.4,Q2
2523-3963,2523-3971,2.4,Q2
0301-1526,1664-2872,2.4,Q2
1710-1492,1710-1492,2.4,Q2
0882-0139,1532-4311,2.4,Q3
1738-6756,2092-9900,2.4,Q3
,2414-4088,2.4,Q3
0926-2040,1527-3326,2.4,Q2
0301-0104,1873-4421,2.4,Q2
0014-4851,1741-2765,2.4,Q2
2364-4176,2364-4184,2.4,Q2
,2515-4184,2.4,Q3
1573-9538,1573-9546,2.4,Q3
0039-2103,1475-1305,2.4,Q2
,2644-1225,2.4,Q3
2329-9207,2329-9215,2.4,Q3
2299-7075,2299-7326,2.4,Q3
1661-5425,1661-5433,2.4,Q2
0720-9355,2567-5761,2.4,Q2
1674-8301,1876-4819,2.4,Q3
1573-3149,1573-3904,2.4,Q3
2083-2567,2449-6499,2.4,Q3
2090-0724,2090-0732,2.4,Q3
0163-5581,1532-7914,2.4,Q3
2631-7745,2631-7745,2.4,Q3
2301-3850,2301-3869,2.4,Q2
2198-6096,2198-6096,2.4,Q2
0195-0738,1528-8994,2.4,Q3
1057-9214,1099-1360,2.4,Q3
2050-6120,2050-6120,2.4,Q3
1386-6184,1573-1987,2.4,Q2
2624-7852,2624-7852,2.4,Q3
1746-0913,1746-0921,2.4,Q3
1726-4529,1996-8566,2.4,Q3
0026-1394,1681-7575,2.4,Q2
2199-384X,2199-3858,2.4,Q3
1431-6730,1437-4315,2.4,Q3
2043-6386,2043-6394,2.4,Q3
2005-3606,2005-5447,2.4,Q4
,2673-4389,2.4,Q3
0965-0393,1361-651X,2.4,Q3
0065-1281,1618-0372,2.4,Q4
0268-2575,1097-4660,2.4,Q3
1659-2395,1659-2395,2.4,Q3
2731-3433,2731-3441,2.4,Q4
1755-876X,1755-8778,2.4,Q2
0038-1098,1879-2766,2.4,Q3
1040-8746,1531-703X,2.4,Q3
1177-8903,1177-8903,2.4,Q4
0972-7531,0976-3260,2.4,Q3
0308-0501,1099-1018,2.4,Q3
,2673-530X,2.4,Q3
1731-2302,1897-4287,2.4,Q3
0021-9983,1530-793X,2.4,Q3
0927-6440,1568-5543,2.4,Q3
2516-1075,2516-1075,2.4,Q3
1687-806X,1687-8078,2.4,Q3
0003-021X,1558-9331,2.4,Q3
1011-372X,1572-879X,2.4,Q3
,2624-5558,2.4,Q3
2296-598X,2296-598X,2.4,Q3
2008-9163,2251-6832,2.4,Q3
2192-6352,2192-6360,2.4,Q3
0248-4900,1768-322X,2.4,Q4
,2624-8549,2.4,Q3
1452-3981,1452-3981,2.4,Q3
2239-9747,2239-9747,2.4,Q3
,2673-6497,2.4,Q3
0018-9235,1939-9340,2.4,Q3
0021-2148,1869-5868,2.4,Q3
1355-2511,1758-7832,2.4,Q3
,1750-0443,2.4,Q3
0007-0882,1464-3537,2.3,Q1
1867-299X,2190-8249,2.3,Q1
0263-2764,1460-3616,2.3,Q1
1520-8583,1758-2245,2.3,
0042-2533,1942-9886,2.3,Q1
0022-0396,1090-2732,2.3,Q1
0007-4918,1472-7234,2.3,Q1
2050-0386,2050-0394,2.3,Q1
0736-9387,1934-7243,2.3,Q1
0002-9300,2161-7953,2.3,Q1
0021-7824,1776-3371,2.3,Q1
1945-8924,1945-8932,2.3,Q1
1864-5755,,2.3,Q1
2008-1359,2251-7456,2.3,Q1
1052-6234,1095-7189,2.3,Q1
1474-7456,1475-3138,2.3,Q1
2372-7322,2372-7330,2.3,Q1
0022-2526,1467-9590,2.3,Q1
0738-0593,1873-4871,2.3,Q1
0261-3794,1873-6890,2.3,Q1
2472-5749,2472-5730,2.3,Q1
0157-244X,1573-1898,2.3,Q1
0031-0239,1475-4983,2.3,Q1
1368-4302,1461-7188,2.3,Q2
0951-5224,1468-2273,2.3,Q1
0937-9827,1437-1596,2.3,Q2
0897-3806,1098-2353,2.3,Q1
0010-4159,2151-6227,2.3,Q1
1598-1037,1876-407X,2.3,Q1
2153-3687,2153-3687,2.3,Q1
0091-0562,1573-2770,2.3,Q1
0882-5963,,2.3,Q1
1062-7197,1532-6977,2.3,Q1
0950-0693,1464-5289,2.3,Q1
0022-1910,1879-1611,2.3,Q1
1557-0851,1557-086X,2.3,Q1
2090-1429,2090-1437,2.3,Q1
0361-0365,1573-188X,2.3,Q1
0886-2605,1552-6518,2.3,Q1
2234-7518,2005-372X,2.3,Q2
1616-5047,1618-1476,2.3,Q1
0195-6744,1549-6511,2.3,Q1
,2513-843X,2.3,Q1
1976-1317,2093-7482,2.3,Q1
1827-4765,2037-0644,2.3,Q1
0144-2872,1470-1006,2.3,Q1
,2306-7381,2.3,Q1
2054-1058,2054-1058,2.3,Q1
0962-7286,2054-1538,2.3,Q1
0904-2512,1600-0714,2.3,Q2
0095-3997,1552-3039,2.3,Q2
2561-6722,2561-6722,2.3,Q2
0736-0266,1554-527X,2.3,Q2
0010-7824,1879-0518,2.3,Q2
,1749-7728,2.3,Q2
,2564-1891,2.3,Q2
0099-1767,1527-2966,2.3,Q1
0261-927X,1552-6526,2.3,Q1
0743-684X,1098-8947,2.3,Q2
0265-4075,1460-3608,2.3,Q1
0306-4549,1873-2100,2.3,Q1
1526-9523,1542-2011,2.3,Q1
1534-7362,1534-7362,2.3,Q2
2162-2671,2162-268X,2.3,Q1
0093-934X,1090-2155,2.3,Q1
2383-4625,2383-4625,2.3,Q1
0721-832X,1435-702X,2.3,Q2
1525-3961,1438-7573,2.3,Q1
1869-5760,1869-5760,2.3,Q2
0096-140X,1098-2337,2.3,Q2
0892-7936,1753-0377,2.3,Q1
0424-7116,2199-9090,2.3,Q1
1090-3798,1532-2130,2.3,Q2
1594-4077,1828-051X,2.3,Q1
1650-1977,1651-2081,2.3,Q1
1753-8963,1753-8971,2.3,Q2
1942-9681,1942-969X,2.3,Q2
0363-6119,1522-1490,2.3,Q2
0195-5373,2708-521X,2.3,Q2
,2399-9772,2.3,Q2
0013-1644,1552-3888,2.3,Q2
0959-289X,1532-3374,2.3,Q2
0001-4966,1520-8524,2.3,Q1
1556-8598,1559-7814,2.3,Q2
1360-0826,1469-798X,2.3,Q1
0093-0334,1552-146X,2.3,Q1
,1546-0096,2.3,Q2
1751-9918,1878-0210,2.3,Q2
,1746-1596,2.3,Q2
0165-7836,1872-6763,2.3,Q2
1662-5129,1662-5129,2.3,Q1
0378-7346,1423-002X,2.3,Q2
0470-8105,1349-8029,2.3,Q2
2239-8031,2239-8031,2.3,Q2
,2045-709X,2.3,Q1
2514-4820,2514-4820,2.3,Q2
1050-6411,1873-5711,2.3,Q1
1535-0118,2150-6930,2.3,Q2
0272-989X,1552-681X,2.3,Q2
8755-6863,1099-0496,2.3,Q2
0301-0449,1432-1998,2.3,Q2
0341-2059,1613-4087,2.3,Q1
1309-422X,2147-429X,2.3,Q2
2044-2041,2044-205X,2.3,Q1
1748-2623,1748-2631,2.3,Q1
0167-4870,1872-7719,2.3,Q2
0003-004X,1945-3027,2.3,Q2
0958-1596,1469-3682,2.3,Q2
1125-7865,1612-0051,2.3,Q2
1369-3786,1460-2709,2.3,Q1
0021-9029,1559-1816,2.3,Q2
1011-8934,1598-6357,2.3,Q2
1938-971X,1938-9728,2.3,Q2
1464-9365,1470-1197,2.3,Q1
0963-1801,1469-2147,2.3,Q2
2432-2717,2432-2725,2.3,Q2
0007-0610,1476-5373,2.3,Q2
0143-831X,1461-7099,2.3,Q2
0966-0410,1365-2524,2.3,Q1
0096-1523,1939-1277,2.3,Q2
1361-1682,1467-9671,2.3,Q1
1058-2916,1538-943X,2.3,Q2
0166-4328,1872-7549,2.3,Q2
1687-4285,2090-3278,2.3,Q2
1022-6877,1421-9891,2.3,Q2
0179-1958,1432-1262,2.3,Q2
1861-6410,1861-6429,2.3,Q2
1863-1959,1863-2378,2.3,Q1
1548-5595,1548-5609,2.3,Q2
0962-1075,1365-2583,2.3,Q1
0027-9684,1943-4693,2.3,Q2
2426-8887,2426-8887,2.3,Q2
0099-1333,1879-1999,2.3,Q2
2327-2236,2327-2236,2.3,Q2
0894-9867,1573-6598,2.3,Q2
1013-9052,1658-3558,2.3,Q2
2054-4642,2054-4650,2.3,Q2
1499-4046,1878-2620,2.3,Q2
2223-4292,2223-4306,2.3,Q2
1354-6783,1464-0708,2.3,Q2
2452-2473,2452-2473,2.3,Q1
1479-9723,1479-9731,2.3,Q2
0362-6784,1467-873X,2.3,Q1
2364-3722,2196-9736,2.3,Q2
1553-5592,1553-5606,2.3,Q2
1349-0079,1880-3865,2.3,Q2
1745-0101,1745-011X,2.3,Q1
0741-3335,1361-6587,2.3,Q2
2218-5836,2218-5836,2.3,Q2
0953-4180,1875-8584,2.3,Q3
2666-3376,2666-3376,2.3,Q2
1468-7976,1741-3206,2.3,Q2
1087-1845,1096-0937,2.3,Q3
1559-9612,1559-9620,2.3,Q2
0167-2681,1879-1751,2.3,Q2
0918-9440,1618-0860,2.3,Q2
,2055-2173,2.3,Q3
1936-4954,1936-4954,2.3,Q1
0889-4019,2161-0045,2.3,Q2
1525-5050,1525-5069,2.3,Q2
1753-8351,1753-836X,2.3,Q2
0302-3427,1471-5430,2.3,Q2
1360-2276,1365-3156,2.3,Q2
2374-4235,2374-4243,2.3,Q3
2056-5607,2056-5615,2.3,Q2
1108-393X,,2.3,Q2
2498-602X,2498-602X,2.3,Q2
2515-8414,2515-8414,2.3,Q2
2084-0845,2300-8814,2.3,Q2
0046-9580,1945-7243,2.3,Q2
0740-8188,1873-1848,2.3,Q2
1078-1439,1873-2496,2.3,Q2
2044-6055,2044-6055,2.3,Q2
0218-1274,1793-6551,2.3,Q2
0029-8549,1432-1939,2.3,Q2
,1179-1462,2.3,Q2
2157-3905,2157-3913,2.3,Q2
,2590-2296,2.3,Q2
1753-0229,1753-0237,2.3,Q2
2052-1707,2052-1707,2.3,Q3
0882-0538,1744-5205,2.3,Q2
0963-9284,1468-4489,2.3,Q2
1664-2201,1664-221X,2.3,Q2
1460-4582,1741-2811,2.3,Q2
1612-197X,1557-251X,2.3,Q2
0303-6812,1432-1416,2.3,Q2
0165-0270,1872-678X,2.3,Q3
1545-5009,1545-5017,2.3,Q2
0340-0727,1430-2772,2.3,Q2
1798-6540,1818-5487,2.3,Q2
1723-2007,1723-2007,2.3,Q2
1471-2202,1471-2202,2.3,Q3
1601-1848,1601-183X,2.3,Q2
0020-7020,2052-465X,2.3,Q1
1219-4956,1532-2807,2.3,Q2
,2475-4455,2.3,Q2
0035-3787,2213-0004,2.3,Q3
2332-9017,2332-9025,2.3,Q2
1877-7821,1877-783X,2.3,Q2
2160-9381,2160-9381,2.3,Q2
1559-2723,1559-2731,2.3,Q2
1951-6355,1951-6401,2.3,Q2
1051-2284,1552-6569,2.3,Q2
1528-008X,1528-0098,2.3,Q2
1078-0874,1552-8332,2.3,Q2
1229-9197,1875-0052,2.3,Q2
1744-0084,1744-0092,2.3,Q3
0091-2700,1552-4604,2.3,Q3
0165-1889,1879-1743,2.3,Q2
1558-9250,1558-9250,2.3,Q2
0959-9916,1466-4453,2.3,Q2
2452-2929,2452-2929,2.3,Q2
2097-3462,2524-6992,2.3,Q2
2045-7758,2045-7758,2.3,Q2
1687-6369,1687-6377,2.3,Q2
0344-5704,1432-0843,2.3,Q3
0373-4633,1469-7785,2.3,Q2
0218-8635,1793-6624,2.3,Q3
1056-8190,1435-5957,2.3,Q1
0009-9163,1399-0004,2.3,Q3
2199-9260,2199-9279,2.3,Q3
1434-2944,1522-2632,2.3,Q2
0963-9314,1573-1367,2.3,Q2
1817-1737,1998-3557,2.3,Q2
1471-2261,1471-2261,2.3,Q2
0160-9289,1932-8737,2.3,Q2
1462-0049,1476-5446,2.3,Q2
,1662-5188,2.3,Q2
0377-0273,1872-6097,2.3,Q2
0168-0102,1872-8111,2.3,Q3
,2308-3425,2.3,Q2
0276-1467,1552-6534,2.3,Q3
2314-6133,2314-6141,2.3,Q3
0096-3402,1938-3282,2.3,Q1
1864-063X,1864-0648,2.3,Q3
0270-7314,1096-9934,2.3,Q2
1369-1066,1464-5343,2.3,Q2
0001-3072,1467-6281,2.3,Q2
1570-9639,1878-1454,2.3,Q3
1010-061X,1420-9101,2.3,Q2
0969-1413,1475-5793,2.3,Q2
1352-0504,1365-2893,2.3,Q3
2196-7202,2196-7210,2.3,Q2
,2076-0825,2.3,Q2
1895-9091,1896-530X,2.3,Q2
2331-1932,2331-1932,2.3,Q2
1548-3584,1548-3592,2.3,Q2
1932-8451,1932-846X,2.3,Q2
0266-4720,1468-0394,2.3,Q2
,2673-8740,2.3,Q2
1759-7706,1759-7714,2.3,Q2
0160-564X,1525-1594,2.3,Q2
2291-2789,2291-2797,2.3,Q3
1764-1489,1764-1489,2.3,Q3
1351-847X,1466-4364,2.3,Q2
0902-4441,1600-0609,2.3,Q2
,2150-4113,2.3,Q2
1431-2174,1435-0157,2.3,Q2
1848-9257,1848-9257,2.3,Q3
1865-9284,1865-9292,2.3,Q2
,2577-6193,2.3,Q2
,2332-7804,2.3,Q3
1139-6709,1618-1905,2.3,Q3
1385-2000,1573-2738,2.3,Q2
,2673-9488,2.3,Q2
1976-8257,2234-2753,2.3,Q3
1792-0981,1792-1015,2.3,Q3
2097-051X,2770-1743,2.3,Q2
1047-4838,1543-1851,2.3,Q2
0895-5646,1573-0476,2.3,Q2
1361-4533,1740-7834,2.3,Q2
,2571-712X,2.3,Q2
0952-5238,1469-8714,2.3,Q2
2692-1626,2576-5337,2.3,Q3
1751-2972,1751-2980,2.3,Q3
1043-7398,1528-9044,2.3,Q2
1935-9705,1935-9713,2.3,Q2
1872-7859,2212-9790,2.3,Q3
,2073-4433,2.3,Q3
0009-5915,1432-0886,2.3,Q3
0018-9162,1558-0814,2.3,Q2
0147-0272,1535-6345,2.3,Q3
1687-8337,1687-8345,2.3,Q3
1939-0211,1939-022X,2.3,Q3
1570-6443,1876-4444,2.3,Q2
1018-1172,1423-0135,2.3,Q2
1871-403X,1878-0318,2.3,Q3
2097-1583,2949-7302,2.3,Q2
0049-3155,,2.3,Q1
1752-6981,1752-699X,2.3,Q2
0893-6692,1098-2280,2.3,Q3
,2631-7680,2.3,Q3
1091-028X,1934-0508,2.3,Q2
0039-128X,1878-5867,2.3,Q3
1976-7633,1976-7951,2.3,Q3
,2198-7866,2.3,Q4
1964-8189,2116-7214,2.3,Q2
2768-1572,2768-1556,2.3,Q3
1530-4388,1558-2574,2.3,Q3
0171-2985,1878-3279,2.3,Q3
0037-8682,,2.3,Q2
2451-4934,2543-6031,2.3,Q2
2194-6175,2157-5665,2.3,Q3
2211-5463,2211-5463,2.3,Q3
0093-6413,1873-3972,2.3,Q2
1079-2082,1535-2900,2.3,Q3
1750-614X,1750-6158,2.3,Q3
1178-7023,1178-7023,2.3,Q3
1751-8644,1751-8652,2.3,Q2
0149-5739,1521-074X,2.3,Q2
1230-0322,2083-6007,2.3,Q3
0038-2353,1996-7489,2.3,Q2
1060-0280,1542-6270,2.3,Q3
2709-8028,2709-8036,2.3,Q2
1073-0451,1073-0451,2.3,Q3
0301-634X,1432-2099,2.3,Q2
1866-9298,1866-928X,2.3,Q3
0803-7051,1651-1999,2.3,Q2
,2624-909X,2.3,Q2
0894-6507,1558-2345,2.3,Q3
2314-4904,2314-4912,2.3,Q2
,2032-5355,2.3,Q3
0016-7746,1573-9708,2.3,Q2
1474-7758,1474-7766,2.3,Q3
,2329-7778,2.3,Q2
0039-7881,1437-210X,2.3,Q2
1018-4864,1572-9451,2.3,Q3
0890-0604,1469-1760,2.3,Q2
1120-8694,1442-2050,2.3,Q3
2193-0856,2193-0864,2.3,Q2
1363-4593,1461-7196,2.3,Q2
2590-0560,2590-0560,2.3,Q2
1719-8429,1719-8429,2.3,Q3
2234-2400,2234-2443,2.3,Q3
1742-2043,1758-6062,2.3,Q3
0353-9504,1332-8166,2.3,Q2
1040-0397,1521-4109,2.3,Q3
1750-743X,1750-7448,2.3,Q3
0932-8092,1432-1769,2.3,Q3
1844-4172,2066-8643,2.3,Q2
1179-156X,1179-156X,2.3,Q3
2709-8044,2709-8052,2.3,Q2
1546-542X,1744-7402,2.3,Q2
1751-5521,1751-553X,2.3,Q2
0021-8464,1545-5823,2.3,Q2
0047-2425,1537-2537,2.3,Q3
2359-3997,2359-4292,2.3,Q3
1061-5377,1538-4683,2.3,Q2
1672-6421,2365-9459,2.3,Q2
2190-6483,2190-6491,2.3,Q3
1079-9893,1532-4281,2.3,Q3
1350-4533,1873-4030,2.3,Q3
1385-772X,1568-5551,2.3,Q3
1940-1493,1940-1507,2.3,Q2
2189-7948,2189-7948,2.3,Q2
0034-3536,1439-1309,2.3,Q1
1359-6535,2040-2058,2.3,Q3
1435-246X,1613-9178,2.3,Q2
0303-402X,1435-1536,2.3,Q3
1025-3866,1477-223X,2.3,Q3
1448-2517,1449-8979,2.3,Q3
0959-8324,1879-2391,2.3,Q3
0925-9724,1573-7551,2.3,Q3
0748-5492,1938-1557,2.3,Q2
2689-6583,2689-6591,2.3,Q3
1748-1317,1748-1325,2.3,Q2
2737-4165,2737-4173,2.3,Q3
1735-207X,1735-2428,2.3,Q3
,2674-0702,2.3,Q2
2472-5854,2472-5862,2.3,Q2
1011-3924,1726-801X,2.3,Q3
0887-381X,1943-5495,2.3,Q2
0013-063X,1572-9982,2.3,Q2
1944-7442,1944-7450,2.3,Q3
2159-6859,2159-6867,2.3,Q3
,2504-3129,2.3,Q3
0149-6395,1520-5754,2.3,Q3
1608-9693,2078-6751,2.3,Q3
2095-025X,2095-0268,2.3,Q3
,2673-7264,2.3,Q2
2036-2579,2036-2579,2.3,Q2
1570-193X,1875-6298,2.3,Q2
,2673-6918,2.3,Q3
2770-2081,2770-2081,2.3,Q3
,2770-3541,2.3,Q2
0924-3046,1568-5519,2.3,Q3
1343-8875,1875-8975,2.3,Q3
,2673-7256,2.3,Q3
1571-1013,1574-9266,2.3,Q3
0970-4140,0019-4964,2.3,Q2
2631-6862,1938-7806,2.2,
1941-1022,1943-1562,2.2,Q2
0883-8151,1550-6878,2.2,Q2
0008-1221,1942-6542,2.2,Q1
1556-4673,1556-4711,2.2,Q3
1351-5993,1468-0386,2.2,Q1
0002-0397,1868-6869,2.2,Q1
0967-0769,1464-3693,2.2,Q1
,2227-7390,2.2,Q1
1756-9370,1756-9389,2.2,
0001-9909,1468-2621,2.2,Q1
0790-8318,1747-7573,2.2,Q1
1465-3060,1364-0380,2.2,Q1
0965-8416,1747-7565,2.2,Q1
0278-4165,1090-2686,2.2,Q1
1664-2376,1664-2384,2.2,Q1
1568-4555,1573-1863,2.2,Q1
1538-7216,1938-2863,2.2,Q1
1470-8477,1747-759X,2.2,Q1
0037-7961,1537-5404,2.2,Q1
0019-042X,1613-4141,2.2,Q1
2643-7961,2643-7961,2.2,Q1
0969-594X,1465-329X,2.2,Q1
1380-2038,1478-2294,2.2,
1383-4517,1875-9866,2.2,Q1
,2036-7481,2.2,Q3
1470-2266,1471-0374,2.2,Q1
2384-8766,2384-8766,2.2,Q1
0899-3408,1744-5175,2.2,Q1
0162-5748,1090-7009,2.2,Q1
