ISSN,EISSN,影响因子,JCR分区
,2691-3399,11.0,Q1
1936-8623,1936-8631,11.0,Q1
1949-0976,1949-0984,11.0,Q1
2162-4968,2162-4968,11.0,Q1
0951-8320,1879-0836,11.0,Q1
1001-0521,1867-7185,11.0,Q1
0306-2619,1872-9118,11.0,Q1
0968-0004,1362-4326,11.0,Q1
2196-5404,2196-5404,11.0,Q1
2326-5191,2326-5205,10.9,Q1
0166-4972,1879-2383,10.9,Q1
0196-8904,1879-2227,10.9,Q1
0098-3063,1558-4127,10.9,Q1
1748-0132,1878-044X,10.9,Q1
0921-3449,1879-0658,10.9,Q1
1388-9842,1879-0844,10.8,Q1
2083-1277,2353-1827,10.8,Q1
,2731-0590,10.8,Q1
2352-3964,2352-3964,10.8,Q1
1460-8545,1468-2370,10.8,Q1
,2752-5724,10.8,Q1
2374-6149,2374-6149,10.8,Q1
,2058-8615,10.7,Q1
0889-3365,1537-2642,10.7,Q1
1536-1276,1558-2248,10.7,Q1
2096-5168,2639-5274,10.7,Q1
,2688-2663,10.7,Q1
2051-6347,2051-6355,10.7,Q1
1367-5788,1872-9088,10.7,Q1
0022-0515,2328-8175,10.6,Q1
1747-938X,1878-0385,10.6,Q1
0022-1007,1540-9538,10.6,Q1
,1475-2840,10.6,Q1
2666-3791,2666-3791,10.6,Q1
,2051-1426,10.6,Q1
2689-9620,2831-4093,10.6,Q1
2214-2894,2214-2894,10.6,Q1
0265-0568,1460-4752,10.6,Q1
1569-1705,1572-9826,10.6,Q1
0360-1315,1873-782X,10.5,Q1
0001-4273,1948-0989,10.5,Q1
1043-6618,1096-1186,10.5,Q1
0956-5663,1873-4235,10.5,Q1
1552-3098,1941-0468,10.5,Q1
1467-7644,1467-7652,10.5,Q1
2168-2267,2168-2275,10.5,Q1
2214-4048,2214-4056,10.5,Q1
0305-7372,1532-1967,10.5,Q1
2772-6568,2772-6568,10.5,Q1
0079-6786,1873-1643,10.5,Q1
1088-8683,1532-7957,10.4,Q1
1041-4347,1558-2191,10.4,Q1
0905-9180,1600-0617,10.4,Q1
2374-7943,2374-7951,10.4,Q1
0022-2429,1547-7185,10.4,Q1
0272-6963,1873-1317,10.4,Q1
2363-7005,1867-0202,10.4,Q1
1531-7331,1545-4118,10.4,Q1
2095-2546,2213-2961,10.3,Q1
0038-0717,1879-3428,10.3,Q1
2198-6061,2198-6061,10.3,Q1
0254-5861,0254-5861,10.3,Q1
1757-7780,1757-7799,10.3,Q1
0098-2997,1872-9452,10.3,Q1
1548-9213,1548-9221,10.3,Q1
1674-7755,2589-0417,10.2,Q1
1078-0432,1557-3265,10.2,Q1
0012-186X,1432-0428,10.2,Q1
2590-0064,2590-0064,10.2,Q1
0022-4359,1873-3271,10.2,Q1
1425-8153,1689-1392,10.2,Q1
,2773-045X,10.2,Q1
1743-9191,1743-9159,10.1,Q1
1545-9993,1545-9985,10.1,Q1
0304-3835,1872-7980,10.1,Q1
1359-4184,1476-5578,10.1,Q1
,1742-2094,10.1,Q1
2662-9291,2662-1363,10.1,Q1
2157-1422,2157-1422,10.1,Q1
0092-0703,1552-7824,10.1,Q1
,2662-8651,10.1,Q1
0161-4940,1520-5703,10.1,Q1
,2754-0413,10.0,Q1
0740-624X,1872-9517,10.0,Q1
1751-7362,1751-7370,10.0,Q1
,2589-5370,10.0,Q1
0012-8252,1872-6828,10.0,Q1
1449-2288,1449-2288,10.0,Q1
0925-5273,1873-7579,10.0,Q1
1863-8880,1863-8899,10.0,Q1
1949-3029,1949-3037,10.0,Q1
0959-6526,1879-1786,10.0,Q1
2207-9963,2208-598X,10.0,Q1
1549-1277,1549-1676,9.9,Q1
2097-0331,2765-8791,9.9,Q1
1523-2409,1745-493X,9.9,Q1
1551-3203,1941-0050,9.9,Q1
1474-0346,1873-5320,9.9,Q1
0361-8609,1096-8652,9.9,Q1
